sample,vehicle,size,food_weight,poison_weight,food_perception,poison_perception
1,0,4,1.3250428911333882,-0.004821891897590191,35.72624457151217,83.91735490492462
1,1,4,2.884244195245159,-0.17604843386142077,35.92952306065891,13.575780451133213
1,2,4,1.5384410348636122,-1.2720171356000387,70.56302115045466,58.689038973543184
1,3,4,2.1204832520310846,-0.9581593783089781,40.46434066003688,87.45242279985943
1,4,4,1.9223597711127467,-2.3609572145130344,52.7077950391164,79.48402570626874
1,5,4,1.310333464034958,-1.4614292328571725,41.219134618627805,55.80391469332526
1,6,4,2.9916365992116103,-2.428217729119927,92.13385638384952,82.14447656427426
1,7,4,0.6448524960895257,-0.12504128071205223,40.69034499172437,79.69539009605369
1,8,4,0.750049620349384,-0.3747351285597138,92.07088033173565,38.77038922832181
1,9,4,0.7163758982980228,-0.017780336937122776,66.26564599843971,31.42256173003688
1,10,4,1.8459524631133655,-0.100448757267944,54.04521198612824,14.59562576799156
1,11,4,1.0748871158265367,-1.6817237456429899,27.856705463606303,96.03269746166809
1,12,4,0.3707544299544927,-1.4452967278308604,94.14477630179991,85.9452895504506
1,13,4,0.9384269105629612,-2.673127225518362,63.94193201720357,51.07323140794324
1,14,4,2.9916365992116103,-2.428217729119927,92.13385638384952,82.14447656427426
1,15,4,-1.1629655656617284,-1.6455904428682246,3.6605059617344837,17.73128648988593
1,16,4,1.4278696926285561,1.1246949591781608,56.62545579953688,58.77651765431222
1,17,4,1.8459524631133655,-0.100448757267944,54.04521198612824,14.59562576799156
1,18,4,-1.8969853959418481,-0.7431092600212232,76.52044951115124,44.05240804941053
1,19,4,0.7163758982980228,-0.017780336937122776,66.26564599843971,31.42256173003688
1,20,4,-2.0442257024338466,0.24251869656354463,66.68131389514875,34.786814166231615
1,21,4,1.5384410348636122,-1.2720171356000387,70.56302115045466,58.689038973543184
1,22,4,1.5384410348636122,-1.2720171356000387,70.56302115045466,58.689038973543184
1,23,4,1.3250428911333882,-0.004821891897590191,35.72624457151217,83.91735490492462
1,24,4,2.9916365992116103,-2.428217729119927,92.13385638384952,82.14447656427426
1,25,4,1.0748871158265367,-1.6817237456429899,27.856705463606303,96.03269746166809
1,26,4,-1.8969853959418481,-0.7431092600212232,76.52044951115124,44.05240804941053
1,27,4,-1.7816756111062877,-1.3823817066159627,60.81163796231248,61.608198430409345
1,28,4,-1.1421576783191436,-2.721234252026506,29.697072908708133,98.5311714873852
1,29,4,-2.859969461318124,-2.697450298390317,23.776259543798094,36.65514503971743
1,30,4,2.9916365992116103,-2.428217729119927,92.13385638384952,82.14447656427426
1,31,4,2.61474957113836,-1.0373381288338286,21.968633125751257,62.52822631842536
1,32,4,-2.778698101754679,-2.479955296687776,3,76.079175782568
1,33,4,1.8459524631133655,-0.100448757267944,54.04521198612824,14.59562576799156
1,34,4,1.8459524631133655,-0.100448757267944,54.04521198612824,14.59562576799156
1,35,4,1.8459524631133655,-0.100448757267944,54.04521198612824,14.59562576799156
1,36,4,1.4278696926285561,1.1246949591781608,56.62545579953688,58.77651765431222
1,37,4,-1.4835972192963611,-2.6651434456502003,38.277735515881204,91.57347110332547
1,38,4,-1.7816756111062877,-1.3823817066159627,60.81163796231248,61.608198430409345
1,39,4,-2.778698101754679,-2.479955296687776,3,76.079175782568
1,40,4,-2.859969461318124,-2.697450298390317,23.776259543798094,36.65514503971743
1,41,4,-2.778698101754679,-2.479955296687776,3,76.079175782568
1,42,4,1.0748871158265367,-1.6817237456429899,27.856705463606303,96.03269746166809
1,43,4,2.61474957113836,-1.0373381288338286,21.968633125751257,62.52822631842536
1,44,4,-1.4835972192963611,-2.6651434456502003,38.277735515881204,91.57347110332547
1,45,4,-1.1421576783191436,-2.721234252026506,29.697072908708133,98.5311714873852
1,46,4,-1.1421576783191436,-2.721234252026506,29.697072908708133,98.5311714873852
1,47,4,0.9384269105629612,-2.673127225518362,63.94193201720357,51.07323140794324
1,48,4,1.006560651690064,-0.30701318043323367,3,88.45236976371582
1,49,4,-1.8969853959418481,-0.7431092600212232,76.52044951115124,44.05240804941053
1,50,4,-2.0442257024338466,0.24251869656354463,66.68131389514875,34.786814166231615
1,51,4,0.3707544299544927,-1.4452967278308604,94.14477630179991,85.9452895504506
1,52,4,1.3250428911333882,-0.004821891897590191,35.72624457151217,83.91735490492462
2,0,4,2.884244195245159,-0.17604843386142077,35.92952306065891,13.575780451133213
2,1,4,1.9223597711127467,-2.3609572145130344,52.7077950391164,79.48402570626874
2,2,4,2.9916365992116103,-2.428217729119927,92.13385638384952,82.14447656427426
2,3,4,0.7163758982980228,-0.017780336937122776,66.26564599843971,31.42256173003688
2,4,4,0.9384269105629612,-2.673127225518362,63.94193201720357,51.07323140794324
2,5,4,1.0748871158265367,-1.6817237456429899,27.856705463606303,96.03269746166809
2,6,4,2.9916365992116103,-2.428217729119927,92.13385638384952,82.14447656427426
2,7,4,0.9384269105629612,-2.673127225518362,63.94193201720357,51.07323140794324
2,8,4,2.884244195245159,-0.17604843386142077,35.92952306065891,13.575780451133213
2,9,4,1.8459524631133655,-0.100448757267944,54.04521198612824,14.59562576799156
2,10,4,2.61474957113836,-1.0373381288338286,21.968633125751257,62.52822631842536
2,11,4,1.0748871158265367,-1.6817237456429899,27.856705463606303,96.03269746166809
2,12,4,1.3250428911333882,-0.004821891897590191,35.72624457151217,83.91735490492462
2,13,4,2.61474957113836,-1.0373381288338286,21.968633125751257,62.52822631842536
2,14,4,2.61474957113836,-1.0373381288338286,21.968633125751257,62.52822631842536
